Ano,Trimestre,Mês,Dia,SKU,Código Cliente,Loja,Quantidade Vendida
2016,Trim 1,janeiro,1,HL1001,796,Fortaleza,2
2016,Trim 1,janeiro,1,HL1001,235,São Paulo,5
2016,Trim 1,janeiro,1,HL1002,157,Fortaleza,4
2016,Trim 1,janeiro,1,HL1002,452,Nova Iguaçu,3
2016,Trim 1,janeiro,1,HL1002,429,São Paulo,3
2016,Trim 1,janeiro,1,HL1003,560,Curitiba,4
2016,Trim 1,janeiro,1,HL1003,248,Rio de Janeiro,4
2016,Trim 1,janeiro,1,HL1005,569,Nova Iguaçu,4
2016,Trim 1,janeiro,1,HL1005,148,Rio de Janeiro,5
2016,Trim 1,janeiro,1,HL1007,510,Campinas,4
2016,Trim 1,janeiro,1,HL1007,286,Fortaleza,2
2016,Trim 1,janeiro,1,HL1007,235,São Paulo,3
2016,Trim 1,janeiro,1,HL1008,630,Guarulhos,4
2016,Trim 1,janeiro,1,HL1008,374,Rio de Janeiro,1
2016,Trim 1,janeiro,1,HL1008,712,Salvador,5
2016,Trim 1,janeiro,1,HL1008,486,São Paulo,9
2016,Trim 1,janeiro,1,HL1009,291,Goiânia,1
2016,Trim 1,janeiro,1,HL1009,804,Rio de Janeiro,4
2016,Trim 1,janeiro,1,HL1010,374,Rio de Janeiro,2
2016,Trim 1,janeiro,1,HL1013,559,Salvador,2
2016,Trim 1,janeiro,1,HL1013,57,São Paulo,4
2016,Trim 1,janeiro,1,HL1014,774,Curitiba,3
2016,Trim 1,janeiro,1,HL1014,161,Goiânia,3
2016,Trim 1,janeiro,1,HL1018,64,Porto Alegre,5
2016,Trim 1,janeiro,1,HL1019,698,São Paulo,2
2016,Trim 1,janeiro,1,HL1020,144,Recife,4
2016,Trim 1,janeiro,1,HL1021,163,Fortaleza,5
2016,Trim 1,janeiro,1,HL1021,165,Recife,1
2016,Trim 1,janeiro,1,HL1021,3,Rio de Janeiro,3
2016,Trim 1,janeiro,1,HL1023,232,Salvador,5
2016,Trim 1,janeiro,1,HL1024,513,Recife,2
2016,Trim 1,janeiro,1,HL1024,481,Salvador,5
2016,Trim 1,janeiro,2,HL1001,720,Curitiba,3
2016,Trim 1,janeiro,2,HL1001,688,Niterói,2
2016,Trim 1,janeiro,2,HL1001,820,Recife,4
2016,Trim 1,janeiro,2,HL1001,648,São Paulo,5
2016,Trim 1,janeiro,2,HL1005,635,Campinas,3
2016,Trim 1,janeiro,2,HL1005,459,Recife,5
2016,Trim 1,janeiro,2,HL1005,1223,São Paulo,10
2016,Trim 1,janeiro,2,HL1007,186,Belo Horizonte,5
2016,Trim 1,janeiro,2,HL1008,589,Rio de Janeiro,1
2016,Trim 1,janeiro,2,HL1009,458,Fortaleza,1
2016,Trim 1,janeiro,2,HL1013,812,Curitiba,3
2016,Trim 1,janeiro,2,HL1019,508,Belo Horizonte,4
2016,Trim 1,janeiro,2,HL1019,781,Fortaleza,4
2016,Trim 1,janeiro,2,HL1019,1291,São Paulo,7
2016,Trim 1,janeiro,2,HL1021,612,Fortaleza,5
2016,Trim 1,janeiro,2,HL1021,614,Goiânia,1
2016,Trim 1,janeiro,2,HL1023,95,Curitiba,3
2016,Trim 1,janeiro,2,HL1023,213,Rio de Janeiro,5
2016,Trim 1,janeiro,3,HL1001,23,Belo Horizonte,4
2016,Trim 1,janeiro,3,HL1001,139,Campinas,5
2016,Trim 1,janeiro,3,HL1001,621,Fortaleza,3
2016,Trim 1,janeiro,3,HL1001,822,Recife,3
2016,Trim 1,janeiro,3,HL1001,125,Rio de Janeiro,1
2016,Trim 1,janeiro,3,HL1001,54,Salvador,1
2016,Trim 1,janeiro,3,HL1001,69,São Paulo,1
2016,Trim 1,janeiro,3,HL1006,437,Salvador,4
2016,Trim 1,janeiro,3,HL1007,475,Belo Horizonte,2
2016,Trim 1,janeiro,3,HL1007,529,Campinas,4
2016,Trim 1,janeiro,3,HL1007,797,São Paulo,2
2016,Trim 1,janeiro,3,HL1008,786,Belo Horizonte,4
2016,Trim 1,janeiro,3,HL1009,76,Rio de Janeiro,1
2016,Trim 1,janeiro,3,HL1009,1247,São Paulo,6
2016,Trim 1,janeiro,3,HL1010,316,São Paulo,5
2016,Trim 1,janeiro,3,HL1013,329,Campinas,3
2016,Trim 1,janeiro,3,HL1013,292,Fortaleza,4
2016,Trim 1,janeiro,3,HL1013,205,Guarulhos,2
2016,Trim 1,janeiro,3,HL1013,737,São Paulo,1
2016,Trim 1,janeiro,3,HL1014,572,Rio de Janeiro,4
2016,Trim 1,janeiro,3,HL1015,786,Belo Horizonte,4
2016,Trim 1,janeiro,3,HL1015,171,Fortaleza,5
2016,Trim 1,janeiro,3,HL1017,374,Rio de Janeiro,5
2016,Trim 1,janeiro,3,HL1018,309,Campinas,1
2016,Trim 1,janeiro,3,HL1018,534,Salvador,2
2016,Trim 1,janeiro,3,HL1019,687,Fortaleza,4
2016,Trim 1,janeiro,3,HL1021,139,Campinas,4
2016,Trim 1,janeiro,4,HL1001,581,Belo Horizonte,3
2016,Trim 1,janeiro,4,HL1001,149,Nova Iguaçu,4
2016,Trim 1,janeiro,4,HL1001,279,Rio de Janeiro,9
2016,Trim 1,janeiro,4,HL1001,104,São Paulo,1
2016,Trim 1,janeiro,4,HL1005,517,Nova Iguaçu,5
2016,Trim 1,janeiro,4,HL1005,446,São Paulo,2
2016,Trim 1,janeiro,4,HL1006,511,Campinas,1
2016,Trim 1,janeiro,4,HL1007,110,Campinas,5
2016,Trim 1,janeiro,4,HL1007,503,Fortaleza,1
2016,Trim 1,janeiro,4,HL1007,244,Recife,1
2016,Trim 1,janeiro,4,HL1007,559,Salvador,2
2016,Trim 1,janeiro,4,HL1007,382,São Paulo,2
2016,Trim 1,janeiro,4,HL1008,562,Goiânia,4
2016,Trim 1,janeiro,4,HL1008,488,Niterói,1
2016,Trim 1,janeiro,4,HL1009,342,Recife,5
2016,Trim 1,janeiro,4,HL1009,405,Rio de Janeiro,3
2016,Trim 1,janeiro,4,HL1009,698,São Paulo,2
2016,Trim 1,janeiro,4,HL1012,737,São Paulo,2
2016,Trim 1,janeiro,4,HL1014,461,São Paulo,4
2016,Trim 1,janeiro,4,HL1015,171,Fortaleza,1
2016,Trim 1,janeiro,4,HL1016,400,São Paulo,5
2016,Trim 1,janeiro,4,HL1017,199,Campinas,5
2016,Trim 1,janeiro,4,HL1019,761,Salvador,5
2016,Trim 1,janeiro,4,HL1020,126,Guarulhos,5
2016,Trim 1,janeiro,4,HL1021,356,Guarulhos,1
2016,Trim 1,janeiro,4,HL1023,554,Porto Alegre,3
2016,Trim 1,janeiro,5,HL1001,314,São Paulo,2
2016,Trim 1,janeiro,5,HL1004,626,Belo Horizonte,4
2016,Trim 1,janeiro,5,HL1004,541,São Paulo,1
2016,Trim 1,janeiro,5,HL1005,178,Curitiba,4
2016,Trim 1,janeiro,5,HL1005,448,Salvador,2
2016,Trim 1,janeiro,5,HL1007,533,Curitiba,2
2016,Trim 1,janeiro,5,HL1007,266,Porto Alegre,4
2016,Trim 1,janeiro,5,HL1007,321,Recife,3
2016,Trim 1,janeiro,5,HL1007,160,São Paulo,2
2016,Trim 1,janeiro,5,HL1008,253,Porto Alegre,1
2016,Trim 1,janeiro,5,HL1013,525,Porto Alegre,2
2016,Trim 1,janeiro,5,HL1015,151,Campinas,5
2016,Trim 1,janeiro,5,HL1015,580,Fortaleza,2
2016,Trim 1,janeiro,5,HL1018,177,Goiânia,5
2016,Trim 1,janeiro,5,HL1020,725,São Paulo,3
2016,Trim 1,janeiro,5,HL1021,171,Fortaleza,1
2016,Trim 1,janeiro,5,HL1021,541,São Paulo,5
2016,Trim 1,janeiro,5,HL1023,201,Campinas,5
2016,Trim 1,janeiro,5,HL1024,230,Porto Alegre,2
2016,Trim 1,janeiro,6,HL1001,796,Fortaleza,5
2016,Trim 1,janeiro,6,HL1003,391,Belo Horizonte,2
2016,Trim 1,janeiro,6,HL1005,331,Rio de Janeiro,4
2016,Trim 1,janeiro,6,HL1008,535,Curitiba,5
2016,Trim 1,janeiro,6,HL1008,189,Porto Alegre,4
2016,Trim 1,janeiro,6,HL1008,429,São Paulo,3
2016,Trim 1,janeiro,6,HL1009,121,Rio de Janeiro,5
2016,Trim 1,janeiro,6,HL1012,198,Salvador,1
2016,Trim 1,janeiro,6,HL1013,366,Fortaleza,4
2016,Trim 1,janeiro,6,HL1015,422,Campinas,3
2016,Trim 1,janeiro,6,HL1015,608,São Paulo,3
2016,Trim 1,janeiro,6,HL1017,219,Recife,1
2016,Trim 1,janeiro,6,HL1018,703,Fortaleza,4
2016,Trim 1,janeiro,6,HL1018,370,Recife,2
2016,Trim 1,janeiro,6,HL1019,130,Fortaleza,1
2016,Trim 1,janeiro,6,HL1019,145,São Paulo,4
2016,Trim 1,janeiro,6,HL1020,95,Curitiba,4
2016,Trim 1,janeiro,6,HL1023,398,Recife,1
2016,Trim 1,janeiro,6,HL1023,748,São Paulo,5
2016,Trim 1,janeiro,6,HL1024,407,Rio de Janeiro,5
2016,Trim 1,janeiro,6,HL1024,261,São Paulo,3
2016,Trim 1,janeiro,7,HL1001,637,Curitiba,2
2016,Trim 1,janeiro,7,HL1001,692,Salvador,3
2016,Trim 1,janeiro,7,HL1002,303,São Paulo,4
2016,Trim 1,janeiro,7,HL1005,339,Curitiba,6
2016,Trim 1,janeiro,7,HL1005,350,Niterói,4
2016,Trim 1,janeiro,7,HL1007,186,Belo Horizonte,3
2016,Trim 1,janeiro,7,HL1008,59,Campinas,5
2016,Trim 1,janeiro,7,HL1008,272,Guarulhos,5
2016,Trim 1,janeiro,7,HL1008,711,Nova Iguaçu,2
2016,Trim 1,janeiro,7,HL1008,641,São Paulo,3
2016,Trim 1,janeiro,7,HL1009,68,Porto Alegre,3
2016,Trim 1,janeiro,7,HL1009,39,Recife,3
2016,Trim 1,janeiro,7,HL1009,748,São Paulo,1
2016,Trim 1,janeiro,7,HL1014,163,Fortaleza,1
2016,Trim 1,janeiro,7,HL1015,715,Curitiba,5
2016,Trim 1,janeiro,7,HL1015,39,Recife,3
2016,Trim 1,janeiro,7,HL1015,652,Rio de Janeiro,5
2016,Trim 1,janeiro,7,HL1016,92,Rio de Janeiro,4
2016,Trim 1,janeiro,7,HL1017,590,Belo Horizonte,4
2016,Trim 1,janeiro,7,HL1018,262,Campinas,5
2016,Trim 1,janeiro,7,HL1018,73,Niterói,3
2016,Trim 1,janeiro,7,HL1018,593,Salvador,3
2016,Trim 1,janeiro,7,HL1019,518,Goiânia,4
2016,Trim 1,janeiro,7,HL1024,121,Rio de Janeiro,2
